nome,categoria,cidade,telefone,website,instagram
Barbearia do Marco,barbearia,Cabo Frio,(22)99801-1234,,@barbeariadoMarco
Studio Bella Hair,salao-de-beleza,Armação dos Búzios,(22)99802-5678,https://studiobella.com.br,@studiobellabuzios
Clínica Vida Nova,clinica,Arraial do Cabo,(22)99803-9012,,@clinicavidanova
Restaurante Sabor da Terra,restaurante,São Pedro da Aldeia,(22)99804-3456,https://sabordaterra.com.br,@sabordaterra
Academia Corpo Forte,academia,Cabo Frio,(22)99805-7890,,@corpofortecf
Pousada Vista Mar,pousada,Armação dos Búzios,(22)99806-2345,https://vistamarbuzios.com.br,@vistamarbuzios
Imobiliária Lagos,imobiliaria,Iguaba Grande,(22)99807-6789,,@imobiliarialagos
Oficina Mecânica São José,oficina,Saquarema,(22)99808-0123,,@oficinasaojose
Barbearia The King,barbearia,Araruama,(22)99809-4567,,@thekingbarbearia
Nail Designer Ana,salao-de-beleza,Cabo Frio,(22)99810-8901,,@naildesignerana
